K7223,소사-8:05:00 소새울-8:08:00 시흥대야-8:10:30 신천-8:13:00 신현-8:17:00 시흥시청-8:21:30 시흥능곡-8:24:00 달미-8:27:00 선부-8:29:30 초지-8:32:30 시우-8:35:00 원시-8:37:00
K7224,원시-7:52:00 시우-7:54:30 초지-7:57:00 선부-8:00:00 달미-8:02:30 시흥능곡-8:05:30 시흥시청-8:08:00 신현-8:12:30 신천-8:16:30 시흥대야-8:19:00 소새울-8:21:30 소사-8:24:00
K7225,소사-8:18:00 소새울-8:21:00 시흥대야-8:23:30 신천-8:26:00 신현-8:30:00 시흥시청-8:34:30 시흥능곡-8:37:00 달미-8:40:00 선부-8:42:30 초지-8:45:30 시우-8:48:00 원시-8:50:00
K7226,원시-8:05:00 시우-8:07:30 초지-8:10:00 선부-8:13:00 달미-8:15:30 시흥능곡-8:18:30 시흥시청-8:21:00 신현-8:25:30 신천-8:29:30 시흥대야-8:32:00 소새울-8:34:30 소사-8:37:00
K7227,소사-8:31:00 소새울-8:34:00 시흥대야-8:36:30 신천-8:39:00 신현-8:43:00 시흥시청-8:47:30 시흥능곡-8:50:00 달미-8:53:00 선부-8:55:30 초지-8:58:30 시우-9:01:00 원시-9:03:00
K7228,원시-8:18:00 시우-8:20:30 초지-8:23:00 선부-8:26:00 달미-8:28:30 시흥능곡-8:31:30 시흥시청-8:34:00 신현-8:38:30 신천-8:42:30 시흥대야-8:45:00 소새울-8:47:30 소사-8:50:00
K7229,소사-8:44:00 소새울-8:47:00 시흥대야-8:49:30 신천-8:52:00 신현-8:56:00 시흥시청-9:00:30 시흥능곡-9:03:00 달미-9:06:00 선부-9:08:30 초지-9:11:30 시우-9:14:00 원시-9:16:00
K7230,원시-8:31:00 시우-8:33:30 초지-8:36:00 선부-8:39:00 달미-8:41:30 시흥능곡-8:44:30 시흥시청-8:47:00 신현-8:51:30 신천-8:55:30 시흥대야-8:58:00 소새울-9:00:30 소사-9:03:00
K7231,소사-8:57:00 소새울-9:00:00 시흥대야-9:02:30 신천-9:05:00 신현-9:09:00 시흥시청-9:13:30 시흥능곡-9:16:00 달미-9:19:00 선부-9:21:30 초지-9:24:30 시우-9:27:00 원시-9:29:00
K7232,원시-8:44:00 시우-8:46:30 초지-8:49:00 선부-8:52:00 달미-8:54:30 시흥능곡-8:57:30 시흥시청-9:00:00 신현-9:04:30 신천-9:08:30 시흥대야-9:11:00 소새울-9:13:30 소사-9:16:00
K7233,소사-9:10:00 소새울-9:13:00 시흥대야-9:15:30 신천-9:18:00 신현-9:22:00 시흥시청-9:26:30 시흥능곡-9:29:00 달미-9:32:00 선부-9:34:30 초지-9:37:30 시우-9:40:00 원시-9:42:00
K7234,원시-8:57:00 시우-8:59:30 초지-9:02:00 선부-9:05:00 달미-9:07:30 시흥능곡-9:10:30 시흥시청-9:13:00 신현-9:17:30 신천-9:21:30 시흥대야-9:24:00 소새울-9:26:30 소사-9:29:00
K7235,소사-9:25:00 소새울-9:28:00 시흥대야-9:30:30 신천-9:33:00 신현-9:37:00 시흥시청-9:41:30 시흥능곡-9:44:00 달미-9:47:00 선부-9:49:30 초지-9:52:30 시우-9:55:00 원시-9:57:00
K7236,원시-9:18:00 시우-9:20:30 초지-9:23:00 선부-9:26:00 달미-9:28:30 시흥능곡-9:31:30 시흥시청-9:34:00 신현-9:38:30 신천-9:42:30 시흥대야-9:45:00 소새울-9:47:30 소사-9:50:00
K7237,소사-9:40:00 소새울-9:43:00 시흥대야-9:45:30 신천-9:48:00 신현-9:52:00 시흥시청-9:56:30 시흥능곡-9:59:00 달미-10:02:00 선부-10:04:30 초지-10:07:30 시우-10:10:00 원시-10:12:00
K7238,원시-9:39:00 시우-9:41:30 초지-9:44:00 선부-9:47:00 달미-9:49:30 시흥능곡-9:52:30 시흥시청-9:55:00 신현-9:59:30 신천-10:03:30 시흥대야-10:06:00 소새울-10:08:30 소사-10:11:00
K7239,소사-10:00:00 소새울-10:03:00 시흥대야-10:05:30 신천-10:08:00 신현-10:12:00 시흥시청-10:16:30 시흥능곡-10:19:00 달미-10:22:00 선부-10:24:30 초지-10:27:30 시우-10:30:00 원시-10:32:00
K7240,원시-10:00:00 시우-10:02:30 초지-10:05:00 선부-10:08:00 달미-10:10:30 시흥능곡-10:13:30 시흥시청-10:16:00 신현-10:20:30 신천-10:24:30 시흥대야-10:27:00 소새울-10:29:30 소사-10:32:00
K7241,소사-10:20:00 소새울-10:23:00 시흥대야-10:25:30 신천-10:28:00 신현-10:32:00 시흥시청-10:36:30 시흥능곡-10:39:00 달미-10:42:00 선부-10:44:30 초지-10:47:30 시우-10:50:00 원시-10:52:00
K7242,원시-10:20:00 시우-10:22:30 초지-10:25:00 선부-10:28:00 달미-10:30:30 시흥능곡-10:33:30 시흥시청-10:36:00 신현-10:40:30 신천-10:44:30 시흥대야-10:47:00 소새울-10:49:30 소사-10:52:00
K7243,소사-10:40:00 소새울-10:43:00 시흥대야-10:45:30 신천-10:48:00 신현-10:52:00 시흥시청-10:56:30 시흥능곡-10:59:00 달미-11:02:00 선부-11:04:30 초지-11:07:30 시우-11:10:00 원시-11:12:00
K7244,원시-10:40:00 시우-10:42:30 초지-10:45:00 선부-10:48:00 달미-10:50:30 시흥능곡-10:53:30 시흥시청-10:56:00 신현-11:00:30 신천-11:04:30 시흥대야-11:07:00 소새울-11:09:30 소사-11:12:00
K7245,소사-11:00:00 소새울-11:03:00 시흥대야-11:05:30 신천-11:08:00 신현-11:12:00 시흥시청-11:16:30 시흥능곡-11:19:00 달미-11:22:00 선부-11:24:30 초지-11:27:30 시우-11:30:00 원시-11:32:00
K7246,원시-11:00:00 시우-11:02:30 초지-11:05:00 선부-11:08:00 달미-11:10:30 시흥능곡-11:13:30 시흥시청-11:16:00 신현-11:20:30 신천-11:24:30 시흥대야-11:27:00 소새울-11:29:30 소사-11:32:00
K7247,소사-11:20:00 소새울-11:23:00 시흥대야-11:25:30 신천-11:28:00 신현-11:32:00 시흥시청-11:36:30 시흥능곡-11:39:00 달미-11:42:00 선부-11:44:30 초지-11:47:30 시우-11:50:00 원시-11:52:00
K7248,원시-11:20:00 시우-11:22:30 초지-11:25:00 선부-11:28:00 달미-11:30:30 시흥능곡-11:33:30 시흥시청-11:36:00 신현-11:40:30 신천-11:44:30 시흥대야-11:47:00 소새울-11:49:30 소사-11:52:00
K7249,소사-11:40:00 소새울-11:43:00 시흥대야-11:45:30 신천-11:48:00 신현-11:52:00 시흥시청-11:56:30 시흥능곡-11:59:00 달미-12:02:00 선부-12:04:30 초지-12:07:30 시우-12:10:00 원시-12:12:00
K7250,원시-11:40:00 시우-11:42:30 초지-11:45:00 선부-11:48:00 달미-11:50:30 시흥능곡-11:53:30 시흥시청-11:56:00 신현-12:00:30 신천-12:04:30 시흥대야-12:07:00 소새울-12:09:30 소사-12:12:00
K7251,소사-12:00:00 소새울-12:03:00 시흥대야-12:05:30 신천-12:08:00 신현-12:12:00 시흥시청-12:16:30 시흥능곡-12:19:00 달미-12:22:00 선부-12:24:30 초지-12:27:30 시우-12:30:00 원시-12:32:00
K7252,원시-12:00:00 시우-12:02:30 초지-12:05:00 선부-12:08:00 달미-12:10:30 시흥능곡-12:13:30 시흥시청-12:16:00 신현-12:20:30 신천-12:24:30 시흥대야-12:27:00 소새울-12:29:30 소사-12:32:00
K7253,소사-12:20:00 소새울-12:23:00 시흥대야-12:25:30 신천-12:28:00 신현-12:32:00 시흥시청-12:36:30 시흥능곡-12:39:00 달미-12:42:00 선부-12:44:30 초지-12:47:30 시우-12:50:00 원시-12:52:00
K7254,원시-12:20:00 시우-12:22:30 초지-12:25:00 선부-12:28:00 달미-12:30:30 시흥능곡-12:33:30 시흥시청-12:36:00 신현-12:40:30 신천-12:44:30 시흥대야-12:47:00 소새울-12:49:30 소사-12:52:00
K7255,소사-12:40:00 소새울-12:43:00 시흥대야-12:45:30 신천-12:48:00 신현-12:52:00 시흥시청-12:56:30 시흥능곡-12:59:00 달미-13:02:00 선부-13:04:30 초지-13:07:30 시우-13:10:00 원시-13:12:00
K7256,원시-12:40:00 시우-12:42:30 초지-12:45:00 선부-12:48:00 달미-12:50:30 시흥능곡-12:53:30 시흥시청-12:56:00 신현-13:00:30 신천-13:04:30 시흥대야-13:07:00 소새울-13:09:30 소사-13:12:00
K7257,소사-13:00:00 소새울-13:03:00 시흥대야-13:05:30 신천-13:08:00 신현-13:12:00 시흥시청-13:16:30 시흥능곡-13:19:00 달미-13:22:00 선부-13:24:30 초지-13:27:30 시우-13:30:00 원시-13:32:00
K7258,원시-13:00:00 시우-13:02:30 초지-13:05:00 선부-13:08:00 달미-13:10:30 시흥능곡-13:13:30 시흥시청-13:16:00 신현-13:20:30 신천-13:24:30 시흥대야-13:27:00 소새울-13:29:30 소사-13:32:00
K7259,소사-13:20:00 소새울-13:23:00 시흥대야-13:25:30 신천-13:28:00 신현-13:32:00 시흥시청-13:36:30 시흥능곡-13:39:00 달미-13:42:00 선부-13:44:30 초지-13:47:30 시우-13:50:00 원시-13:52:00
K7260,원시-13:20:00 시우-13:22:30 초지-13:25:00 선부-13:28:00 달미-13:30:30 시흥능곡-13:33:30 시흥시청-13:36:00 신현-13:40:30 신천-13:44:30 시흥대야-13:47:00 소새울-13:49:30 소사-13:52:00
